time,open,high,low,close,tick_volume
2016-05-02 00:00:00,8.7,10.4,8.7,9.9,2209
2016-05-03 00:00:00,9.9,10.2,9.3,9.3,1198
2016-05-04 00:00:00,9.3,9.9,9.2,9.4,1202
2016-05-05 00:00:00,9.4,9.9,9.2,9.7,949
2016-05-06 00:00:00,9.7,9.9,9.0,9.1,1220
2016-05-07 00:00:00,9.1,9.4,9.1,9.1,586
2016-05-08 00:00:00,9.1,9.5,8.9,9.4,896
2016-05-09 00:00:00,9.3,9.5,9.1,9.1,521
2016-05-10 00:00:00,9.1,9.4,9.1,9.3,343
2016-05-11 00:00:00,9.3,9.9,9.3,9.8,710
2016-05-12 00:00:00,9.8,10.5,9.6,10.1,1379
2016-05-13 00:00:00,10.2,11.2,9.9,10.3,2457
2016-05-14 00:00:00,10.3,10.5,9.8,10.2,1283
2016-05-15 00:00:00,10.1,10.3,9.8,10.0,797
2016-05-16 00:00:00,9.9,11.4,9.9,11.3,1683
2016-05-17 00:00:00,11.2,12.6,11.0,11.9,2461
2016-05-18 00:00:00,11.9,14.3,11.9,12.8,3907
2016-05-19 00:00:00,12.8,14.5,12.7,14.3,2125
2016-05-20 00:00:00,14.3,15.1,13.5,14.0,2762
2016-05-21 00:00:00,13.9,14.0,13.1,13.8,1717
2016-05-22 00:00:00,13.8,14.4,13.7,14.3,804
2016-05-23 00:00:00,14.3,14.5,13.7,13.9,1187
2016-05-24 00:00:00,13.9,13.9,12.0,12.7,2601
2016-05-25 00:00:00,12.7,12.9,11.8,12.3,1712
2016-05-26 00:00:00,12.4,13.0,12.1,12.4,1778
2016-05-27 00:00:00,12.4,12.6,10.3,11.0,3213
2016-05-28 00:00:00,11.0,12.0,10.2,11.0,3736
2016-05-29 00:00:00,11.0,12.2,10.8,11.9,1815
2016-05-30 00:00:00,11.9,12.6,11.7,12.5,1139
2016-05-31 00:00:00,12.5,13.9,12.4,13.7,1819
2016-06-01 00:00:00,13.7,14.0,13.1,13.7,1706
2016-06-02 00:00:00,13.6,13.7,13.3,13.5,697
2016-06-03 00:00:00,13.6,13.6,12.9,13.1,975
2016-06-04 00:00:00,13.1,13.7,13.0,13.5,911
2016-06-05 00:00:00,13.4,13.6,13.2,13.5,731
2016-06-06 00:00:00,13.5,13.7,13.4,13.6,479
2016-06-07 00:00:00,13.6,14.2,13.6,14.0,833
2016-06-08 00:00:00,14.0,14.7,14.0,14.2,1137
2016-06-09 00:00:00,14.2,14.3,14.0,14.2,372
2016-06-10 00:00:00,14.1,14.1,13.5,13.5,751
2016-06-11 00:00:00,13.5,13.7,13.4,13.5,641
2016-06-12 00:00:00,13.6,14.9,13.5,14.5,1882
2016-06-13 00:00:00,14.4,17.0,14.4,16.5,3135
2016-06-14 00:00:00,16.5,18.9,16.4,18.0,3481
2016-06-15 00:00:00,18.0,18.7,17.0,17.8,3162
2016-06-16 00:00:00,17.8,19.7,17.5,19.6,2612
2016-06-17 00:00:00,19.6,20.5,12.9,14.2,9881
2016-06-18 00:00:00,14.1,15.0,9.6,11.2,8007
2016-06-19 00:00:00,11.2,12.8,10.1,11.6,4873
2016-06-20 00:00:00,11.6,12.1,10.2,11.4,3697
2016-06-21 00:00:00,11.4,12.2,10.9,12.0,1994
2016-06-22 00:00:00,11.9,15.4,11.9,13.2,5711
2016-06-23 00:00:00,13.2,15.4,12.0,12.8,6399
2016-06-24 00:00:00,12.8,13.8,12.7,13.4,1556
2016-06-25 00:00:00,13.4,13.9,13.4,13.5,799
2016-06-26 00:00:00,13.5,13.7,13.1,13.1,901
2016-06-27 00:00:00,13.2,13.7,13.1,13.5,866
2016-06-28 00:00:00,13.4,13.6,11.2,11.8,3211
2016-06-29 00:00:00,11.8,12.5,11.3,12.5,1682
2016-06-30 00:00:00,12.5,12.6,11.9,12.0,1037
2016-07-01 00:00:00,12.0,12.2,11.3,11.8,1672
2016-07-02 00:00:00,11.8,12.1,11.6,11.7,748
2016-07-03 00:00:00,11.7,11.9,11.5,11.5,700
2016-07-04 00:00:00,11.6,11.8,11.1,11.2,1014
2016-07-05 00:00:00,11.1,11.2,7.8,9.8,5360
2016-07-06 00:00:00,9.8,10.8,9.8,10.2,1607
2016-07-07 00:00:00,10.2,10.3,9.5,9.6,808
2016-07-08 00:00:00,9.6,10.7,9.4,10.6,1489
2016-07-09 00:00:00,10.6,11.2,10.4,10.8,1411
2016-07-10 00:00:00,10.8,10.9,10.5,10.6,496
2016-07-11 00:00:00,10.6,10.7,10.0,10.3,1051
2016-07-12 00:00:00,10.3,10.5,10.2,10.3,540
2016-07-13 00:00:00,10.3,10.4,10.2,10.3,242
2016-07-14 00:00:00,10.3,11.4,10.3,11.3,1242
2016-07-15 00:00:00,11.3,12.3,11.1,11.9,1882
2016-07-16 00:00:00,11.9,12.0,11.5,11.7,818
2016-07-17 00:00:00,11.6,11.7,10.8,10.8,1062
2016-07-18 00:00:00,10.8,11.4,10.8,11.1,890
2016-07-19 00:00:00,11.0,12.0,10.8,11.7,1654
2016-07-20 00:00:00,11.7,12.9,11.4,12.5,2180
2016-07-21 00:00:00,12.5,12.6,11.9,12.5,1415
2016-07-22 00:00:00,12.5,14.9,12.3,14.2,3402
2016-07-23 00:00:00,14.2,14.7,13.9,14.2,1615
2016-07-24 00:00:00,14.2,14.2,12.2,12.9,2753
2016-07-25 00:00:00,12.9,13.6,12.5,13.1,1802
2016-07-26 00:00:00,13.1,13.7,11.8,12.2,3013
2016-07-27 00:00:00,12.2,13.1,11.6,12.8,2508
2016-07-28 00:00:00,12.8,12.9,12.3,12.8,1170
2016-07-29 00:00:00,12.8,12.8,12.4,12.6,591
2016-07-30 00:00:00,12.5,12.6,12.4,12.4,351
2016-07-31 00:00:00,12.4,12.4,11.4,11.6,1149
